metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
hdfs_datanode.dfs_remaining,gauge,,bytes,,The remaining disk space left in bytes,0,hdfs_datanode,dfs_rem
hdfs_datanode.dfs_capacity,gauge,,bytes,,Disk capacity in bytes,0,hdfs_datanode,dfs_cap
hdfs_datanode.dfs_used,gauge,,bytes,,Disk usage in bytes,0,hdfs_datanode,dfs_used
hdfs_datanode.cache_capacity,gauge,,bytes,,Cache capacity in bytes,0,hdfs_datanode,cache_cap
hdfs_datanode.cache_used,gauge,,bytes,,Cache used in bytes,0,hdfs_datanode,cache_used
hdfs_datanode.num_failed_volumes,gauge,,volumes,,Number of failed volumes,0,hdfs_datanode,failed_volumes
hdfs_datanode.last_volume_failure_date,gauge,,date,,Date the last volume failed,0,hdfs_datanode,last_failed_volume
hdfs_datanode.estimated_capacity_lost_total,gauge,,bytes,,The estimated capacity lost in bytes,0,hdfs_datanode,cap_lost
hdfs_datanode.num_blocks_cached,gauge,,blocks,,The number of blocks cached,0,hdfs_datanode,blk_cached
hdfs_datanode.num_blocks_failed_to_cache,gauge,,blocks,,The number of blocks that failed to cache,0,hdfs_datanode,blk_failed
hdfs_datanode.num_blocks_failed_to_uncache,gauge,,blocks,,The number of failed blocks to remove from cache,0,hdfs_datanode,blk_failed_uncache
