metric_name;metric_type;interval;unit_name;per_unit_name;description;orientation;integration;short_name
icinga.stats.services_pending_passive_host_down;gauge;;service;service;Services with pending checks, passive checks and host down;0;icingastats;ici sta srvc pending_passive_host_down
icinga.stats.services_pending_disabled;gauge;;service;service;Services with pending checks and disabled checks;0;icingastats;ici sta srvc pending_disabled
icinga.stats.services_pending_disabled_host_down;gauge;;service;service;Services with pending checks, disabled checks and host down;0;icingastats;ici sta srvc pending_disabled_host_down
icinga.stats.services_ok;gauge;;service;service;Services in state OK;0;icingastats;ici sta srvc ok
icinga.stats.services_ok_host_down;gauge;;service;service;Services in state OK and host down;0;icingastats;ici sta srvc ok host_down
icinga.stats.services_ok_active;gauge;;service;service;Services in state OK and active checks;0;icingastats;ici sta srvc ok active
icinga.stats.services_ok_active_host_down;gauge;;service;service;Services in state OK, active checks and host down;0;icingastats;ici sta srvc ok active_host_down
icinga.stats.services_ok_passive;gauge;;service;service;Services in state OK and passive checks;0;icingastats;ici sta srvc ok passive
icinga.stats.services_ok_passive_host_down;gauge;;service;service;Services in state OK, passive checks and host down;0;icingastats;ici sta srvc ok passive_host_down
icinga.stats.services_ok_disabled;gauge;;service;service;Services in state OK and disabled checks;0;icingastats;ici sta srvc ok disabled
icinga.stats.services_ok_disabled_host_down;gauge;;service;service;Services in state OK, disabled checks and host down;0;icingastats;ici sta srvc ok disabled_host_down
icinga.stats.services_warning;gauge;;service;service;Services in state warning;0;icingastats;ici sta srvc warning
icinga.stats.services_warning_host_down;gauge;;service;service;Services in state warning and host down;0;icingastats;ici sta srvc warn host_down
icinga.stats.services_warning_active;gauge;;service;service;Services in state warning and active checks;0;icingastats;ici sta srvc warn active
icinga.stats.services_warning_active_host_down;gauge;;service;service;Services in state warning, active checks and host down;0;icingastats;ici sta srvc warn active_host_down
icinga.stats.services_warning_passive;gauge;;service;service;Services in state warning and passive checks;0;icingastats;ici sta srvc warn passive
icinga.stats.services_warning_passive_host_down;gauge;;service;service;Services in state warning, passive checks and host down;0;icingastats;ici sta srvc warn passive_host_down
icinga.stats.services_warning_disabled;gauge;;service;service;Services in state warning and disabled checks;0;icingastats;ici sta srvc warn disabled
icinga.stats.services_warning_disabled_host_down;gauge;;service;service;Services in state warning, disabled checks and host down;0;icingastats;ici sta srvc warn disabled_host_down
icinga.stats.services_warning_scheduled;gauge;;service;service;Services in state warning and scheduled downtime;0;icingastats;ici sta srvc warn scheduled
icinga.stats.services_warning_scheduled_host_down;gauge;;service;service;Services in state warning, scheduled downtime and host down;0;icingastats;ici sta srvc warn scheduled_host_down
icinga.stats.services_warning_active_scheduled;gauge;;service;service;Services in state warning, scheduled downtime and active checks;0;icingastats;ici sta srvc warn active_scheduled
icinga.stats.services_warning_active_scheduled_host_down;gauge;;service;service;Services in state warning, scheduled downtime, active checks and host down;0;icingastats;ici sta srvc warn active_scheduled_host_down
icinga.stats.services_warning_passive_scheduled;gauge;;service;service;Services in state warning, scheduled downtime and passive checks;0;icingastats;ici sta srvc warn passive_scheduled
icinga.stats.services_warning_passive_scheduled_host_down;gauge;;service;service;Services in state warning, scheduled downtime, passive checks and host down;0;icingastats;ici sta srvc warn passive_scheduled_host_down
icinga.stats.services_warning_disabled_scheduled;gauge;;service;service;Services in state warning, scheduled downtime and disabled checks;0;icingastats;ici sta srvc warn disabled_scheduled
icinga.stats.services_warning_disabled_scheduled_host_down;gauge;;service;service;Services in state warning, scheduled downtime, disabled checks and host down;0;icingastats;ici sta srvc warn disabled_scheduled_host_down
icinga.stats.services_warning_acknowledged;gauge;;service;service;Services in state warning and aknowledged alerts;0;icingastats;ici sta srvc warn acknowledged
icinga.stats.services_warning_acknowledged_host_down;gauge;;service;service;Services in state warning, aknowledged alerts and host down;0;icingastats;ici sta srvc warn acknowledged_host_down
icinga.stats.services_warning_active_acknowledged;gauge;;service;service;Services in state warning, aknowledged alerts and active checks;0;icingastats;ici sta srvc warn active_acknowledged
icinga.stats.services_warning_active_acknowledged_host_down;gauge;;service;service;Services in state warning, aknowledged alerts, active checks and host down;0;icingastats;ici sta srvc warn active_acknowledged_host_down
icinga.stats.services_warning_passive_acknowledged;gauge;;service;service;Services in state warning, aknowledged alerts and passive checks;0;icingastats;ici sta srvc warn passive_acknowledged
icinga.stats.services_warning_passive_acknowledged_host_down;gauge;;service;service;Services in state warning, aknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc warn passive_acknowledged_host_down
icinga.stats.services_warning_disabled_acknowledged;gauge;;service;service;Services in state warning, aknowledged alerts and disabled checks;0;icingastats;ici sta srvc warn disabled_acknowledged
icinga.stats.services_warning_disabled_acknowledged_host_down;gauge;;service;service;Services in state warning, aknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc warn disabled_acknowledged_host_down
icinga.stats.services_warning_unacknowledged;gauge;;service;service;Services in state warning and unaknowledged alerts;0;icingastats;ici sta srvc warn unacknowledged
icinga.stats.services_warning_unacknowledged_host_down;gauge;;service;service;Services in state warning, unaknowledged alerts and host down;0;icingastats;ici sta srvc warn unacknowledged_host_down
icinga.stats.services_warning_active_unacknowledged;gauge;;service;service;Services in state warning, unaknowledged alerts and active checks;0;icingastats;ici sta srvc warn active_unacknowledged
icinga.stats.services_warning_active_unacknowledged_host_down;gauge;;service;service;Services in state warning, unaknowledged alerts, active checks and host down;0;icingastats;ici sta srvc warn active_unacknowledged_host_down
icinga.stats.services_warning_passive_unacknowledged;gauge;;service;service;Services in state warning, unaknowledged alerts and passive checks;0;icingastats;ici sta srvc warn passive_unacknowledged
icinga.stats.services_warning_passive_unacknowledged_host_down;gauge;;service;service;Services in state warning, unaknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc warn passive_unacknowledged_host_down
icinga.stats.services_warning_disabled_unacknowledged;gauge;;service;service;Services in state warning, unaknowledged alerts and disabled checks;0;icingastats;ici sta srvc warn disabled_unacknowledged
icinga.stats.services_warning_disabled_unacknowledged_host_down;gauge;;service;service;Services in state warning, unaknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc warn disabled_unacknowledged_host_down
icinga.stats.services_critical;gauge;;service;service;Services in state critical;0;icingastats;ici sta srvc critical
icinga.stats.services_critical_host_down;gauge;;service;service;Services in state critical and host down;0;icingastats;ici sta srvc crit  host_down
icinga.stats.services_critical_active;gauge;;service;service;Services in state critical and active checks;0;icingastats;ici sta srvc crit  active
icinga.stats.services_critical_active_host_down;gauge;;service;service;Services in state critical, active checks and host down;0;icingastats;ici sta srvc crit  active_host_down
icinga.stats.services_critical_passive;gauge;;service;service;Services in state critical and passive checks;0;icingastats;ici sta srvc crit  passive
icinga.stats.services_critical_passive_host_down;gauge;;service;service;Services in state critical, passive checks and host down;0;icingastats;ici sta srvc crit  passive_host_down
icinga.stats.services_critical_disabled;gauge;;service;service;Services in state critical and disabled checks;0;icingastats;ici sta srvc crit  disabled
icinga.stats.services_critical_disabled_host_down;gauge;;service;service;Services in state critical, disabled checks and host down;0;icingastats;ici sta srvc crit  disabled_host_down
icinga.stats.services_critical_scheduled;gauge;;service;service;Services in state critical and scheduled downtime;0;icingastats;ici sta srvc crit  scheduled
icinga.stats.services_critical_scheduled_host_down;gauge;;service;service;Services in state critical, scheduled downtime and host down;0;icingastats;ici sta srvc crit  scheduled_host_down
icinga.stats.services_critical_active_scheduled;gauge;;service;service;Services in state critical, scheduled downtime and active checks;0;icingastats;ici sta srvc crit  active_scheduled
icinga.stats.services_critical_active_scheduled_host_down;gauge;;service;service;Services in state critical, scheduled downtime, active checks and host down;0;icingastats;ici sta srvc crit  active_scheduled_host_down
icinga.stats.services_critical_passive_scheduled;gauge;;service;service;Services in state critical, scheduled downtime and passive checks;0;icingastats;ici sta srvc crit  passive_scheduled
icinga.stats.services_critical_passive_scheduled_host_down;gauge;;service;service;Services in state critical, scheduled downtime, passive checks and host down;0;icingastats;ici sta srvc crit  passive_scheduled_host_down
icinga.stats.services_critical_disabled_scheduled;gauge;;service;service;Services in state critical, scheduled downtime and disabled checks;0;icingastats;ici sta srvc crit  disabled_scheduled
icinga.stats.services_critical_disabled_scheduled_host_down;gauge;;service;service;Services in state critical, scheduled downtime, disabled checks and host down;0;icingastats;ici sta srvc crit  disabled_scheduled_host_down
icinga.stats.services_critical_acknowledged;gauge;;service;service;Services in state critical and aknowledged alerts;0;icingastats;ici sta srvc crit  acknowledged
icinga.stats.services_critical_acknowledged_host_down;gauge;;service;service;Services in state critical, aknowledged alerts and host down;0;icingastats;ici sta srvc crit  acknowledged_host_down
icinga.stats.services_critical_active_acknowledged;gauge;;service;service;Services in state critical, aknowledged alerts and active checks;0;icingastats;ici sta srvc crit  active_acknowledged
icinga.stats.services_critical_active_acknowledged_host_down;gauge;;service;service;Services in state critical, aknowledged alerts, active checks and host down;0;icingastats;ici sta srvc crit  active_acknowledged_host_down
icinga.stats.services_critical_passive_acknowledged;gauge;;service;service;Services in state critical, aknowledged alerts and passive checks;0;icingastats;ici sta srvc crit  passive_acknowledged
icinga.stats.services_critical_passive_acknowledged_host_down;gauge;;service;service;Services in state critical, aknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc crit  passive_acknowledged_host_down
icinga.stats.services_critical_disabled_acknowledged;gauge;;service;service;Services in state critical, aknowledged alerts and disabled checks;0;icingastats;ici sta srvc crit  disabled_acknowledged
icinga.stats.services_critical_disabled_acknowledged_host_down;gauge;;service;service;Services in state critical, aknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc crit  disabled_acknowledged_host_down
icinga.stats.services_critical_unacknowledged;gauge;;service;service;Services in state critical and unaknowledged alerts;0;icingastats;ici sta srvc crit  unacknowledged
icinga.stats.services_critical_unacknowledged_host_down;gauge;;service;service;Services in state critical, unaknowledged alerts and host down;0;icingastats;ici sta srvc crit  unacknowledged_host_down
icinga.stats.services_critical_active_unacknowledged;gauge;;service;service;Services in state critical, unaknowledged alerts and active checks;0;icingastats;ici sta srvc crit  active_unacknowledged
icinga.stats.services_critical_active_unacknowledged_host_down;gauge;;service;service;Services in state critical, unaknowledged alerts, active checks and host down;0;icingastats;ici sta srvc crit  active_unacknowledged_host_down
icinga.stats.services_critical_passive_unacknowledged;gauge;;service;service;Services in state critical, unaknowledged alerts and passive checks;0;icingastats;ici sta srvc crit  passive_unacknowledged
icinga.stats.services_critical_passive_unacknowledged_host_down;gauge;;service;service;Services in state critical, unaknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc crit  passive_unacknowledged_host_down
