short_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lightbend.remote_nodes.cluster_domain_event.samples,gauge,,event,second,Total number of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev total
lightbend.remote_nodes.cluster_member_event.mean_rate,gauge,,event,second,Average rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev mean
lightbend.remote_nodes.cluster_member_event.min1_rate,gauge,,event,second,1 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 1 min
lightbend.remote_nodes.cluster_member_event.min15_rate,gauge,,event,second,15 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 15 min
lightbend.remote_nodes.cluster_member_event.min5_rate,gauge,,event,second,5 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 5 min
lightbend.remote_nodes.cluster_member_event.samples,gauge,,event,second,Total number of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev total
lightbend.remote_nodes.node_quarantined_event.mean_rate,gauge,,event,second,Average rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev mean
lightbend.remote_nodes.node_quarantined_event.min1_rate,gauge,,event,second,1 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 1 min
lightbend.remote_nodes.node_quarantined_event.min15_rate,gauge,,event,second,15 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 15 min
lightbend.remote_nodes.node_quarantined_event.min5_rate,gauge,,event,second,5 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 5 min
lightbend.remote_nodes.node_quarantined_event.samples,gauge,,event,second,Total number of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev total
lightbend.remote_nodes.phi_accrual_value,gauge,,,,Current phi accrual value for Akka remote node failure detection.,0,Lightbend Reactive Platform,lrp node phi
lightbend.self_nodes.phi_accrual_threshold_value,gauge,,,,Current phi accrual threshold value for Akka remote node failure detection.,0,Lightbend Reactive Platform,lrp node phi thres 
