short_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lightbend.actors.mailbox_size_limit.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for actor mailbox size.,0,Lightbend Reactive Platform,lrp mbox sz ev 5 min
lightbend.actors.mailbox_size_limit.samples,gauge,,event,second,Total number of threshold limit events for actor mailbox size.,0,Lightbend Reactive Platform,lrp mbox sz ev total
lightbend.actors.mailbox_time_limit.mean_rate,gauge,,event,second,Average rate of threshold limit events for time in actor mailbox.,0,Lightbend Reactive Platform,lrp mbox tm ev mean
lightbend.actors.mailbox_time_limit.min1_rate,gauge,,event,second,1 minute rate of threshold limit events for time in actor mailbox.,0,Lightbend Reactive Platform,lrp mbox tm ev 1 min
lightbend.actors.mailbox_time_limit.min15_rate,gauge,,event,second,15 minute rate of threshold limit events for time in actor mailbox.,0,Lightbend Reactive Platform,lrp mbox tm ev 15 min
lightbend.actors.mailbox_time_limit.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for time in actor mailbox.,0,Lightbend Reactive Platform,lrp mbox tm ev 5 min
lightbend.actors.mailbox_time_limit.samples,gauge,,event,second,Total number of threshold limit events for time in actor mailbox.,0,Lightbend Reactive Platform,lrp mbox tm ev total
lightbend.actors.processing_time_limit.mean_rate,gauge,,message,second,Average rate of threshold limit events for actor message processing time.,0,Lightbend Reactive Platform,lrp proc tm ev mean
lightbend.actors.processing_time_limit.min1_rate,gauge,,message,second,1 minute rate of threshold limit events for actor message processing time.,0,Lightbend Reactive Platform,lrp proc tm ev 1 min
lightbend.actors.processing_time_limit.min15_rate,gauge,,message,second,15 minute rate of threshold limit events for actor message processing time.,0,Lightbend Reactive Platform,lrp proc tm ev 15 min
lightbend.actors.processing_time_limit.min5_rate,gauge,,message,second,5 minute rate of threshold limit events for actor message processing time.,0,Lightbend Reactive Platform,lrp proc tm ev 5 min
lightbend.actors.processing_time_limit.samples,gauge,,message,second,Total number of threshold limit events for actor message processing time.,0,Lightbend Reactive Platform,lrp proc tm ev total
lightbend.actors.stash_size_limit.mean_rate,gauge,,message,second,Average rate of threshold limit events for actor stash size.,0,Lightbend Reactive Platform,lrp stash sz ev mean
lightbend.actors.stash_size_limit.min1_rate,gauge,,message,second,1 minute rate of threshold limit events for actor stash size.,0,Lightbend Reactive Platform,lrp stash sz ev 1 min
lightbend.actors.stash_size_limit.min15_rate,gauge,,message,second,15 minute rate of threshold limit events for actor stash size.,0,Lightbend Reactive Platform,lrp stash sz ev 15 min
lightbend.actors.stash_size_limit.min5_rate,gauge,,message,second,5 minute rate of threshold limit events for actor stash size.,0,Lightbend Reactive Platform,lrp stash sz ev 5 min
lightbend.actors.stash_size_limit.samples,gauge,,message,second,Total number of threshold limit events for actor stash size.,0,Lightbend Reactive Platform,lrp stash sz ev total
lightbend.dispatchers.processing,gauge,,task,,Current number of tasks being processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc
lightbend.dispatchers.processing_time.max,gauge,,nanosecond,,Maximum time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm max
lightbend.dispatchers.processing_time.mean,gauge,,nanosecond,,Average time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm avg
lightbend.dispatchers.processing_time.median,gauge,,nanosecond,,Median time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm med
